ID Commande,ID Client,ID Produit,Nom Produit,Quantité,Prix Unitaire,Date Commande,Canal,Statut Commande,Adresse Livraison,Ville Livraison
101351,3604,P8824,For repair Car,3,192.86,2025-04-26 06:58:52,mobile,annulée,323 Stoneridge,Tualatin
101351,3604,P5197,Used Wooden Bike,2,343.78,2025-04-26 06:58:52,mobile,annulée,323 Stoneridge,Tualatin
101351,3604,P0915,Generic Frozen Gloves,5,280.56,2025-04-26 06:58:52,mobile,annulée,323 Stoneridge,Tualatin
101602,3215,P1820,Gorgeous Metal Gloves,5,454.36,2025-04-07 02:52:40,mobile,payée,5 Orizaba,Phenix City
101602,3215,P6046,Licensed Plastic Fish,2,111.86,2025-04-07 02:52:40,mobile,payée,5 Orizaba,Phenix City
101602,3215,P5387,Rustic Cotton Hat,3,63.91,2025-04-07 02:52:40,mobile,payée,5 Orizaba,Phenix City
101712,4198,P6325,Practical Hat,2,11.06,2024-05-28 21:10:57,mobile,en attente,572 Lapu-Lapu,Eastlake
101757,3419,P8070,Practical Steel Soap,4,317.92,2024-10-19 05:57:02,mobile,en attente,964 Sickles,Mason City
101883,6919,P9525,Rustic Fish,3,109.45,2023-09-01 19:22:29,mobile,annulée,1076 Drumm,Caledonia
102116,4933,P2897,Fresh Tuna,3,13.11,2023-11-06 19:53:01,mobile,payée,705 Granada,Janesville
102116,4933,P9479,For repair Fresh Shoes,4,161.97,2023-11-06 19:53:01,mobile,payée,705 Granada,Janesville
102116,4933,P7855,Soft Bacon,5,311.72,2023-11-06 19:53:01,mobile,payée,705 Granada,Janesville
102885,5665,P0891,Practical Soft Tuna,5,135.54,2024-10-28 22:01:02,mobile,payée,1272 Bliss,Grand Rapids
102885,5665,P2969,Handmade Soft Fish,1,150.66,2024-10-28 22:01:02,mobile,payée,1272 Bliss,Grand Rapids
102885,5665,P0301,Generic Metal Shoes,4,406.14,2024-10-28 22:01:02,mobile,payée,1272 Bliss,Grand Rapids
102947,3997,P0641,Gently Used Wooden Soap,1,301.41,2025-02-12 01:56:36,mobile,annulée,950 Jessie,East Peoria
102947,3997,P0295,Licensed Chips,1,112.97,2025-02-12 01:56:36,mobile,annulée,950 Jessie,East Peoria
103294,2338,P0106,Practical Fresh Table,3,248.68,2024-06-02 03:15:23,mobile,payée,73 Harvard,North Royalton
103294,2338,P9192,Used Concrete Ball,2,148.51,2024-06-02 03:15:23,mobile,payée,73 Harvard,North Royalton
103294,2338,P4140,Licensed Soft Car,5,237.93,2024-06-02 03:15:23,mobile,payée,73 Harvard,North Royalton
103826,2304,P4430,Sleek Cotton Bacon,1,477.38,2025-01-01 15:13:45,mobile,en attente,1358 Langton,Fountain Valley
